y	x
0	we can not allow
0	is also paying the price
0	confounding right and wrong
0	axis of evil
0	rejection
1	not interfere
0	a late resolution
0	fails to mention
0	end up like french algeria
1	concerted moral resistance
1	will be inviting
0	allegations
0	a tool to advance america 's foreign policy
1	a great political triumph
1	based on justice
0	emphatically condemned in the strongest terms
1	want
1	have preference for
0	artificial obstacles
0	criminal policies
1	far better than
0	accused
0	targeting them one by one
1	called upon
0	slammed
0	desperate
0	would not recognize
1	said optimistically
0	was naive
1	serious , calm and forward looking
1	optimistic and hopeful
0	whether
0	the lack of
1	to ensure the full exercise of democratic rights
0	always follows its interests
0	will not agree
0	extremists
0	concerns
0	sad
0	possible excesses and violations of rights
0	the labyrinth
0	unnecessary
0	completely ignored
0	frustrated
0	despotic
0	viciously
1	brilliant , full of strength and eloquence
0	does not entitle
0	axis of evil
0	it 's a challenge
0	denied
0	indecisive
0	fears
1	more quickly
1	sought
1	applauded
0	was substantial concern
1	harmonious and close
0	whatsoever
0	undermine
1	legitimate
0	talk about clueless
0	poor
0	will not admit
1	for the generosity of his soul
0	firmly opposed
0	would be forced
1	congratulated
1	seek peace
0	is shrinking
0	expressed sympathy
0	little to offer
0	kill
1	subscribes
0	hurt
0	assertively holds so dear to his heart
1	care
0	to express concerns
1	only responsible course of action
0	clashed violently
1	insufficient guarantees in themselves
1	support
0	baby faced
0	fearing
0	axis of evil
0	misguided policy
0	trying to harass
1	urges
0	growing concerns
1	would like
1	argentina deserved bailing out
1	urged
0	power sharing
0	assassin
1	very clear boundaries
0	telling
0	rigged
0	perpetuate
0	was rebuffed
0	criticism
0	refusal
0	found itself literally in the plight of a punching bag
1	bridle the israeli oppressive activity
0	labeled
0	getting on the nerves
0	hurry up and wait
0	struggled to defend
0	boasted
0	unfair
0	stolen an election
0	demanded heavy expenditure
1	stays true
0	little truth
0	not useful
0	was so hard on
0	is disgusted
1	spirit of cooperation and understanding
0	have warned
1	needs to cooperate
1	had thanked
1	the successful ratification
0	sees
1	called for
0	intended
0	think
0	want more money for themselves ,
1	want
0	may not receive a fair trial
0	described
0	horrible attacks
0	have damaged so much
0	have refused to serve
0	directly responsible
0	really abuse human rights
0	displeasure
1	positive responses from
1	balmy
0	instead of
0	can create trouble and instability
1	considers
1	supported
0	steal
0	sharp divisions
0	particularly frequently and unceremoniously
0	old bullying
1	called on
1	personal safety to be ensured
1	who are highly respected within the society
0	a primitive thirst for revenge
0	call
0	provoked by the fact
0	cautioned
0	flawed
0	ambiguity
0	systematic cheating , spoiling tactics , rigid new laws and sheer obstruction
0	alleged rigging
0	thanks to the taliban regime
0	disapproval
1	advocated
0	assassinations
1	ambition
0	covert motive
1	have triumphed
0	restricts
0	islamabad is pretending they do not exist
0	repeat his father 's mistake
0	ought not
0	step up
1	spirit of cooperation and understanding
0	will not respect
0	has tended to undermine the growth of a human rights culture
0	illegal combatants
1	hoped
0	claim
1	approve of
0	no double standards should be pursued here
1	aim
1	furiously lobby
0	complaints and inquires
1	still persisted
1	promote
0	disturbingly long term
1	maintain
0	no israeli government can provide security
0	evaporated quickly
0	thought
0	all around us
0	will have trouble wriggling out of the need to explain and justify
0	rigged
1	wish
0	use the excuse of
0	violations
0	backing away
0	power at all costs
1	great leader
0	top concern
0	how could anybody
0	inhumane
0	so there 'll be more and more poor people
0	controlling the world of politics globally
0	the world 's biggest exporter
1	wish
0	a threat
0	harsh
0	alternative'
0	attacks
1	evenhanded
0	do n't support
0	bloodshed
0	are false
0	simply do not understand
1	positive control
0	declare their opposition
0	not considered
1	would not dilute its backing
0	could not be
0	to the president 's misfortune
0	simply to rubber stamp
0	farcical yet provocative
0	mistreated
1	ideology was explicitly embraced
0	incommunicado detentions
0	widespread use of torture
0	alleged
0	that 's what happened in argentina
1	the money well spent
0	rising tension
0	renunciation of its mentality of domination and expansion , which have caused calamities and catastrophes in the past five decades
0	feels
0	frantically
0	harms
0	had likely deteriorated beyond repair
0	countries such as iran , iraq and north korea represent an ``axis of evil
0	a warning
1	seeking
0	not putting their letterhead on anything
0	relished
0	regards
0	is intolerant
0	there is irony including from the sober
0	have filed a complaint
1	join forces
1	has pursued
0	to such policy
1	need for the palestinian people to regain their freedom and independence
1	welcome
0	condemned
1	to call on
0	benefits
1	strengths
0	who were deprived of the minimum political and human rights
0	collapse
1	endeared him
0	repeated reference
0	denied
1	supports
0	crowding some of them out of existence
0	contradicted
0	verbal attack
0	deepen anger
0	demonstrations
0	not look very good
0	removed from the reality
1	urged
0	transmit
0	axis of evil rhetoric
0	has been accused
1	would continue to honor its commitment
0	war on
1	won the assurance
0	domination
0	expose the cracks
0	will not
0	grave violations
0	too late
0	should not be used to justify
1	the desire
0	trying to use the time factor
0	is the most bellicose and heinous us president
0	condemnation
0	seriously flawed
0	the opposition members have a loaded gun at their head with mr mugabe 's fingers on the trigger
0	raised further questions
0	condemnation
1	extensive support
0	saw
1	ideals
0	batted an eyelid
0	dismissed
1	was important
1	impartial
0	claims of
1	sincerity
0	suspected
1	has now approved
0	must avoid
0	is becoming more complicated
1	invited
0	rigged
0	objections
1	our goal
0	now heaped upon
0	losing currency
0	`world judge of human rights'
0	cruel , inhuman or degrading treatment
1	the jewel of the us constitution
0	have damaged
0	boycotted
0	have issued ultimatums
0	axis of evil theory
0	ever addicted to conspiracy theories
0	only a hireling
0	against all hope
0	lacked conclusiveness and were not operational
