dataset,method,n_samples,n_samples_perc,results
CR,tfidf,250,0.08289124668435013,0.6688741721854304
CR,tfidf,500,0.16578249336870027,0.7099337748344371
CR,tfidf,1000,0.33156498673740054,0.7655629139072848
CR,tfidf,2000,0.6631299734748011,0.8
CR,tfidf,3000,0.9946949602122016,0.7960264900662252
CR,bow,250,0.08289124668435013,0.7178807947019867
CR,bow,500,0.16578249336870027,0.7072847682119205
CR,bow,1000,0.33156498673740054,0.7602649006622516
CR,bow,2000,0.6631299734748011,0.7801324503311259
CR,bow,3000,0.9946949602122016,0.7947019867549668
MR,tfidf,250,0.02931175987806308,0.6090014064697609
MR,tfidf,500,0.05862351975612616,0.6418190342240975
MR,tfidf,1000,0.11724703951225232,0.679324894514768
MR,tfidf,2000,0.23449407902450464,0.7140178152836381
MR,tfidf,4000,0.4689881580490093,0.7407407407407407
MR,bow,250,0.02931175987806308,0.5907172995780591
MR,bow,500,0.05862351975612616,0.5621190811064228
MR,bow,1000,0.11724703951225232,0.6671354899203
MR,bow,2000,0.23449407902450464,0.69901547116737
MR,bow,4000,0.4689881580490093,0.743553680262541
MPQA,tfidf,250,0.029474180617778827,0.7067421027817068
MPQA,tfidf,500,0.058948361235557654,0.7298444130127298
MPQA,tfidf,1000,0.11789672247111531,0.7694483734087695
MPQA,tfidf,2000,0.23579344494223062,0.8043375766148043
MPQA,tfidf,4000,0.47158688988446124,0.8208392267798208
MPQA,bow,250,0.029474180617778827,0.7006129184347006
MPQA,bow,500,0.058948361235557654,0.7388024516737388
MPQA,bow,1000,0.11789672247111531,0.7553041018387553
MPQA,bow,2000,0.23579344494223062,0.7958510136727959
MPQA,bow,4000,0.47158688988446124,0.8104667609618105
CoLA,tfidf,250,0.0292363466261256,0.6925996204933587
CoLA,tfidf,500,0.0584726932522512,0.6925996204933587
CoLA,tfidf,1000,0.1169453865045024,0.6925996204933587
CoLA,tfidf,2000,0.2338907730090048,0.6925996204933587
CoLA,tfidf,4000,0.4677815460180096,0.6925996204933587
CoLA,bow,250,0.0292363466261256,0.6925996204933587
CoLA,bow,500,0.0584726932522512,0.6925996204933587
CoLA,bow,1000,0.1169453865045024,0.6925996204933587
CoLA,bow,2000,0.2338907730090048,0.6925996204933587
CoLA,bow,4000,0.4677815460180096,0.6925996204933587
SUBJ,tfidf,250,0.03125,0.792
SUBJ,tfidf,500,0.0625,0.8255
SUBJ,tfidf,1000,0.125,0.847
SUBJ,tfidf,2000,0.25,0.869
SUBJ,tfidf,4000,0.5,0.8785
SUBJ,bow,250,0.03125,0.779
SUBJ,bow,500,0.0625,0.8135
SUBJ,bow,1000,0.125,0.8395
SUBJ,bow,2000,0.25,0.8535
SUBJ,bow,4000,0.5,0.854
SST2,tfidf,250,0.036127167630057806,0.6172432729269632
